Name,Group,Code,Grade,Length,Compilsory,profession,Continue_semester,Lecture,Experiment,Computer_room,Teacher_code,semester,Day,Koma
総合A,0001,10414,1,6,1,0,3,1,0,0,0001,1,1,1
総合A,0001,10424,1,6,1,0,3,1,0,0,0001,1,1,2
総合A,0001,10414,1,6,1,0,3,1,0,0,0001,2,1,1
総合A,0001,10424,1,6,1,0,3,1,0,0,0001,2,1,2
総合A,0001,10414,1,6,1,0,3,1,0,0,0001,3,1,1
総合A,0001,10424,1,6,1,0,3,1,0,0,0001,3,1,2
化学,0001,10424,1,3,0,0,3,1,0,0,0001,1,3,5
化学,0001,10414,1,3,0,0,3,1,0,0,0001,2,3,5
化学,0001,10424,1,3,0,0,3,1,0,0,0001,3,3,5
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,1,1,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,2,1,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,3,1,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,1,4,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,2,4,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,3,4,4
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,1,5,5
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,2,5,5
第一外国語,0001,10414,1,3,1,0,3,1,0,0,0001,3,5,5
フレッシュマンセミナー,0001,10414,1,1,1,0,1,1,0,0,0001,1,4,2
体育,0001,10414,1,2,1,0,1,1,0,0,0001,1,2,3
体育,0001,10414,1,2,1,0,1,1,0,0,0001,2,2,3
体育,0001,10414,1,2,1,0,1,1,0,0,0001,3,2,3
体育,0001,10414,2,2,1,0,1,1,0,0,0001,1,3,3
体育,0001,10414,2,2,1,0,1,1,0,0,0001,2,3,3
体育,0001,10414,2,2,1,0,1,1,0,0,0001,3,3,3
体育,0001,10414,3,2,1,1,1,1,0,0,0001,1,1,4
体育,0001,10414,3,2,1,1,1,1,0,0,0001,2,1,4
体育,0001,10414,3,2,1,1,1,1,0,0,0001,3,1,4
体育,0001,10414,3,2,1,2,1,1,0,0,0001,1,1,4
体育,0001,10414,3,2,1,2,1,1,0,0,0001,2,1,4
体育,0001,10414,3,2,1,2,1,1,0,0,0001,3,1,4
体育,0001,10414,3,2,1,3,1,1,0,0,0001,1,1,4
体育,0001,10414,3,2,1,3,1,1,0,0,0001,2,1,4
体育,0001,10414,3,2,1,3,1,1,0,0,0001,3,1,4
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,1,3
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,1,4
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,1,5
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,4,3
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,4,4
論理回路実験,0001,10414,2,2,1,0,1,1,0,0,0001,2,4,5
論理システム実験,0001,10414,2,2,0,0,1,1,0,0,0001,3,1,3
論理システム実験,0001,10414,2,2,0,0,1,1,0,0,0001,3,1,4
論理システム実験,0001,10414,2,2,0,0,1,1,0,0,0001,3,1,5
